Name;LOC;Time;PIPs;Paths;Paths vuln;Paths timeout;XSS;SQLi;EVAL;SPECIFICS
symfony_finder.result;3792;00:01:36;0;0;0;0;0;0;0;;
jeremykenedy_laravel-auth.result;5616;00:00:27;0;0;0;0;0;0;0;;
laravel_telescope.result;4740;00:00:25;0;0;0;0;0;0;0;;
symfony_event-dispatcher.result;2067;00:00:27;0;0;0;0;0;0;0;;
jokkedk_webgrind.result;1190;00:08:16;0;0;0;0;0;0;0;;
rectorphp_rector.result;185966;00:02:35;0;0;0;0;0;0;0;;
WP-API_WP-API.result;14340;00:02:35;0;0;0;0;0;0;0;;
symfony_process.result;3154;00:00:34;0;0;0;0;0;0;0;;
VentureCraft_revisionable.result;783;00:00:20;0;0;0;0;0;0;0;;
formers_former.result;9827;00:00:30;0;0;0;0;0;0;0;;
phpDocumentor_ReflectionDocBlock.result;5873;00:00:39;0;0;0;0;0;0;0;;
astralapp_astral.result;2930;00:00:24;0;0;0;0;0;0;0;;
zendframework_zend-code.result;16863;00:00:57;0;0;0;0;0;0;0;;
gabordemooij_redbean.result;25573;00:02:20;0;0;0;0;0;0;0;;
zendframework_zend-eventmanager.result;3217;00:00:48;0;0;0;0;0;0;0;;
Rudloff_alltube.result;2414;00:00:24;0;0;0;0;0;0;0;;
rap2hpoutre_laravel-log-viewer.result;413;00:00:18;0;0;0;0;0;0;0;;
rmccue_Requests.result;5444;00:00:39;0;0;0;0;0;0;0;;
elliotcondon_acf.result;9305;09:41:55;0;0;0;0;0;0;0;;
roots_bedrock.result;91;00:00:18;0;0;0;0;0;0;0;;
ARCANEDEV_LogViewer.result;3829;00:00:24;0;0;0;0;0;0;0;;
barryvdh_laravel-dompdf.result;223;00:00:19;0;0;0;0;0;0;0;;
docker_labs.result;167147;00:00:19;0;0;0;0;0;0;0;;
hugues-m_phpunit-vw.result;138;00:00:19;0;0;0;0;0;0;0;;
getgrav_grav.result;94764;00:01:50;0;0;0;0;0;0;0;;
gabrielrcouto_php-terminal-gameboy-emulator.result;5515;00:00:50;0;0;0;0;0;0;0;;
joypixels_emojione.result;5132;00:00:37;0;0;0;0;0;0;0;;
hyperf_hyperf.result;97720;00:02:18;0;0;0;0;0;0;0;;
antonioribeiro_tracker.result;5005;00:00:25;0;0;0;0;0;0;0;;
ralouphie_getallheaders.result;154;00:00:18;0;0;0;0;0;0;0;;
brefphp_bref.result;5655;00:00:18;0;0;0;0;0;0;0;;
zoujingli_ThinkAdmin.result;53912;00:04:59;0;0;0;0;0;0;0;;
giggsey_libphonenumber-for-php.result;556508;00:03:25;0;0;0;0;0;0;0;;
helloqingfeng_Awsome-Front-End-learning-resource.result;11735;00:01:25;0;0;0;0;0;0;0;;
VerbalExpressions_PHPVerbalExpressions.result;933;00:00:26;0;0;0;0;0;0;0;;
fideloper_TrustedProxy.result;330;00:00:19;0;0;0;0;0;0;0;;
google_recaptcha.result;1442;00:00:31;0;0;0;0;0;0;0;;
roots_sage.result;394;00:00:34;0;0;0;0;0;0;0;;
html5blank_html5blank.result;684;00:00:41;0;0;0;0;0;0;0;;
gdbinit_MachOView.result;684;00:00:17;0;0;0;0;0;0;0;;
akaunting_akaunting.result;77207;00:01:07;0;0;0;0;0;0;0;;
facebookarchive_facebook-php-sdk.result;2794;00:00:35;0;0;0;0;0;0;0;;
phar-io_manifest.result;2037;00:00:35;0;0;0;0;0;0;0;;
egulias_EmailValidator.result;2369;00:00:36;0;0;0;0;0;0;0;;
fuzzdb-project_fuzzdb.result;1908;00:10:11;14;79;2;11;14;0;0;  (xss) print_func:1,  (xss) echo_func:13,;
zhuifengshaonianhanlu_pikachu.result;6934;00:05:35;9;134;80;0;1;7;1;  (sqli) list_call:mysqli_query_1:7,  (eval) sink_eval:1,  (xss) echo_func:1,;
php-fig_container.result;17;00:00:17;0;0;0;0;0;0;0;;
romanbican_roles.result;571;00:00:21;0;0;0;0;0;0;0;;
versionpress_versionpress.result;26634;00:03:12;0;0;0;0;0;0;0;;
esotalk_esoTalk.result;16137;04:56:24;3;534;390;0;3;0;0;  (xss) sprintf:1,  (xss) echo_func:2,;
jeroennoten_Laravel-AdminLTE.result;4228;00:00:23;0;0;0;0;0;0;0;;
ReactiveX_RxPHP.result;30549;00:01:01;0;0;0;0;0;0;0;;
helei112g_payment.result;5440;00:01:21;1;8;8;0;1;0;0;  (xss) sprintf:1,;
beyondcode_expose.result;3367;00:00:25;0;0;0;0;0;0;0;;
webonyx_graphql-php.result;60115;00:00:25;0;0;0;0;0;0;0;;
irazasyed_telegram-bot-sdk.result;4844;00:00:25;0;0;0;0;0;0;0;;
Qoraiche_laravel-mail-editor.result;1049;00:00:21;0;0;0;0;0;0;0;;
fex-team_fis.result;14854;00:14:36;0;0;0;0;0;0;0;;
flarum_core.result;20126;00:00:45;0;0;0;0;0;0;0;;
vrana_adminer.result;25845;11:32:27;27;426;28;257;16;11;0;  (sqli) list_method:query_0:10,  (sqli) list_method:multi_query_0:1,  (xss) echo_func:16,;
etrepat_baum.result;4343;00:00:39;0;0;0;0;0;0;0;;
JakubOnderka_PHP-Console-Highlighter.result;431;00:00:23;0;0;0;0;0;0;0;;
johnlui_Learn-Laravel-5.result;1252;00:00:19;0;0;0;0;0;0;0;;
Behat_Behat.result;18712;00:01:32;0;0;0;0;0;0;0;;
guzzle_promises.result;2880;00:00:27;0;0;0;0;0;0;0;;
phacility_phabricator.result;512147;00:13:35;0;0;0;0;0;0;0;;
geocoder-php_Geocoder.result;16463;00:05:53;0;0;0;0;0;0;0;;
beyondcode_laravel-websockets.result;3031;00:00:27;0;0;0;0;0;0;0;;
invoiceninja_invoiceninja.result;176442;00:08:56;0;0;0;0;0;0;0;;
sebastianbergmann_phpunit.result;182440;00:01:22;0;0;0;0;0;0;0;;
florianv_swap.result;394;00:00:20;0;0;0;0;0;0;0;;
